Taxon_orig,Taxon_orig.authority,中文名,拉丁名,科名,大类,保护等级,href,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,resolved_match_type,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_status,clonality,clonal_means,clonal_type,source,refs,c_score,s_score,r_score,n.prov,invasion_level
Praxelis clematidea,(Hieronymus ex Kuntze) R. M. King & H. Rob.,假臭草,Praxelis clematidea,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/512,Exact (without author),FALSE,1,0,3131278,Praxelis clematidea,(Hieron. ex Kuntze) R.M.King & H.Rob.,Species,Accepted,NA,209980-2,3131278,7,14,Exact (without author),3131278,209980-2,Species,Accepted,Asteraceae,NA,Praxelis,NA,clematidea,NA,NA,Hieron. ex Kuntze,R.M.King & H.Rob.,NA,Phytologia,0.968055556,-1970,NA,Peru to Brazil and N. Argentina,subshrub or shrub,seasonally dry tropical,Praxelis clematidea,(Hieron. ex Kuntze) R.M.King & H.Rob.,3131278,3131276,NA,NA,3133630,209980-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,1
Bromus catharticus,Vahl,扁穗雀麦,Bromus catharticus,禾本科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/30,Exact (with author),FALSE,1,0,400803,Bromus catharticus,Vahl,Species,Accepted,NA,37001-2,400803,0,4,Exact (with author),400803,37001-2,Species,Accepted,Poaceae,NA,Bromus,NA,catharticus,NA,NA,NA,Vahl,NA,Symb. Bot.,2:22,-1791,NA,Venezuela to S. South America,annual or biennial,temperate,Bromus catharticus,Vahl,400803,NA,NA,NA,451165,37001-2,NA,Y,Matched to an accepted name,clonal,Tiller,aboveground,"Cao et al, 2008",wang et al. 2016,31.18540002861682,44.870715206309214,23.94388476507396,17,2
Aegilops tauschii,Coss.,山羊草,Aegilops tauschii,禾本科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/33,Exact (with author),FALSE,1,0,387847,Aegilops tauschii,Coss.,Species,Accepted,NA,384652-1,387847,0,5,Exact (with author),387847,384652-1,Species,Accepted,Poaceae,NA,Aegilops,NA,tauschii,NA,NA,NA,Coss.,NA,Notes Pl. Crit.,: 69,-1849,NA,"Krym to E. Türkiye and China (Shaanxi, Henan)",annual,temperate,Aegilops tauschii,Coss.,387847,448364,P.Beauv. ex Roem. & Schult.,NA,450699,384652-1,NA,Y,Matched to an accepted name,clonal,Tiller,aboveground,manually added,https://www.sciencedirect.com/science/article/pii/S0981942820305143#undfig1,4.62242968563164,73.08705983227144,22.290510482096924,NA,2
Avena fatua,L.,野燕麦,Avena fatua,禾本科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/37,Exact (with author),FALSE,1,0,397488,Avena fatua,L.,Species,Accepted,NA,391443-1,397488,0,2,Exact (with author),397488,391443-1,Species,Accepted,Poaceae,NA,Avena,NA,fatua,NA,NA,NA,L.,NA,Sp. Pl.,: 80,-1753,NA,"Macaronesia, Temp. Eurasia, N. Africa",annual,temperate,Avena fatua,L.,397488,NA,NA,NA,451095,391443-1,NA,Y,Matched to an accepted name,clonal,Tiller,aboveground,CLO-PLA3,wang et al. 2016,47.559931556023614,25.60604809931053,26.839020344665855,33,2
Spartina anglica,C. E. Hubb.,大米草,Spartina anglica,禾本科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/52,Exact (without author),FALSE,1,0,443755,Spartina anglica,C.E.Hubb.,Species,Synonym,TRUE,422426-1,497672,2,5,Exact (without author),497672,77144696-1,Species,Accepted,Poaceae,NA,Sporobolus,NA,anglicus,NA,NA,C.E.Hubb.,P.M.Peterson & Saarela,NA,Taxon,63: 1236,-2014,NA,Great Britain,perennial or rhizomatous geophyte,temperate,Sporobolus anglicus,(C.E.Hubb.) P.M.Peterson & Saarela,497672,443755,NA,NA,443991,77144696-1,NA,Y,Matched to an accepted name,clonal,Rhizome/Tiller,both,CLO-PLA3,wang et al. 2016,34.19698240884719,65.80301759115281,0,17,2
Cenchrus echinatus,L.,蒺藜草,Cenchrus echinatus,禾本科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/59,Exact (with author),FALSE,1,0,403909,Cenchrus echinatus,L.,Species,Accepted,NA,316518-2,403909,0,2,Exact (with author),403909,316518-2,Species,Accepted,Poaceae,NA,Cenchrus,NA,echinatus,NA,NA,NA,L.,NA,Sp. Pl.,: 1050,-1753,NA,C. & S. U.S.A. to Trop. & Subtrop. America,annual,seasonally dry tropical,Cenchrus echinatus,L.,403909,NA,NA,NA,451210,316518-2,NA,Y,Matched to an accepted name,clonal,Tiller,aboveground,"Lu et al, 2011",wang et al. 2016,NA,NA,NA,21,2
Cenchrus incertus,M. A. Curtis,光梗蒺藜草,Cenchrus incertus,禾本科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/61,Exact (without author),FALSE,1,0,403941,Cenchrus incertus,M.A.Curtis,Species,Synonym,NA,395249-1,404022,2,6,Exact (without author),404022,395325-1,Species,Accepted,Poaceae,NA,Cenchrus,NA,spinifex,NA,NA,NA,Cav.,NA,Icon.,5:38,-1799,NA,C. & S. U.S.A. to Trop. & Subtrop. America,annual or perennial,seasonally dry tropical,Cenchrus spinifex,Cav.,404022,NA,NA,NA,451210,395325-1,NA,Y,Matched to an accepted name,clonal,Tiller,aboveground,"Wang, 20092",wang et al. 2016,12.232067739890631,66.81410387135595,20.953828388753426,NA,2
Brachiaria mutica,(Forssk.) Stapf,巴拉草,Brachiaria mutica,禾本科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/67,Exact (with author),FALSE,1,0,399687,Brachiaria mutica,(Forssk.) Stapf,Species,Synonym,TRUE,392958-1,449511,0,15,Exact (with author),449511,426266-1,Species,Accepted,Poaceae,NA,Urochloa,NA,mutica,NA,NA,Forssk.,T.Q.Nguyen,NA,Novosti Sist. Vyssh. Rast.,3:13,-1966,NA,"Sahara to Angola, N. Africa to Syria, SW. Arabian Pen.",perennial,desert or dry shrubland,Urochloa mutica,(Forssk.) T.Q.Nguyen,449511,429391,NA,NA,449435,426266-1,NA,Y,Matched to an accepted name,clonal,Stolon,aboveground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,29,2
Panicum repens,L.,铺地黍,Panicum repens,禾本科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/70,Exact (with author),FALSE,1,0,430067,Panicum repens,L.,Species,Accepted,NA,412908-1,430067,0,2,Exact (with author),430067,412908-1,Species,Accepted,Poaceae,NA,Panicum,NA,repens,NA,NA,NA,L.,NA,"Sp. Pl., ed. 2.",: 87,-1762,NA,Trop. & Subtrop. Old World,perennial or rhizomatous geophyte,seasonally dry tropical,Panicum repens,L.,430067,NA,NA,NA,427062,412908-1,NA,Y,Matched to an accepted name,clonal,Tiller,aboveground,Flora of China,wang et al. 2016,28.61165822211388,71.38834177788613,0,15,2
Leucaena leucocephala,(Lam.) de Wit,银合欢,Leucaena leucocephala,豆科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/103,Exact (with author),FALSE,1,0,2346347,Leucaena leucocephala,(Lam.) de Wit,Species,Accepted,NA,138955-2,2346347,0,13,Exact (with author),2346347,138955-2,Species,Accepted,Fabaceae,NA,Leucaena,NA,leucocephala,NA,NA,Lam.,de Wit,NA,Taxon,10:54,-1961,NA,Mexico to C. America,shrub or tree,seasonally dry tropical,Leucaena leucocephala,(Lam.) de Wit,2346347,2374717,NA,NA,2497458,138955-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,46.36797126336029,42.56747477967731,11.06455395696238,28,2
Mimosa diplotricha,C. Wright,巴西含羞草,Mimosa diplotricha,豆科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/106,Exact (without author),FALSE,1,0,2510876,Mimosa diplotricha,C.Wright,Species,Accepted,NA,312750-2,2510876,1,6,Exact (without author),2510876,312750-2,Species,Accepted,Fabaceae,NA,Mimosa,NA,diplotricha,NA,NA,NA,C.Wright,NA,Anales Acad. Ci. Méd. Habana,0.489583333,-1869,NA,Trop. & Subtrop. America,subshrub or perennial,seasonally dry tropical,Mimosa diplotricha,C.Wright,2510876,NA,NA,NA,2374559,312750-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,16,2
Mimosa pudica,L.,含羞草,Mimosa pudica,豆科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/109,Exact (with author),FALSE,1,0,2373711,Mimosa pudica,L.,Species,Accepted,NA,313242-2,2373711,0,2,Exact (with author),2373711,313242-2,Species,Accepted,Fabaceae,NA,Mimosa,NA,pudica,NA,NA,NA,L.,NA,Sp. Pl.,: 518,-1753,NA,Mexico to Trop. America,"annual, perennial or subshrub",wet tropical,Mimosa pudica,L.,2373711,NA,NA,NA,2374559,313242-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,2
Trifolium repens,L.,白车轴草,Trifolium repens,豆科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/151,Exact (with author),FALSE,1,0,2439997,Trifolium repens,L.,Species,Accepted,NA,523626-1,2439997,0,2,Exact (with author),2439997,523626-1,Species,Accepted,Fabaceae,NA,Trifolium,NA,repens,NA,NA,NA,L.,NA,Sp. Pl.,: 767,-1753,NA,"Macaronesia, NW. Africa, Egypt to Zimbabwe, Europe to Mongolia and Himalaya",perennial,temperate,Trifolium repens,L.,2439997,NA,NA,NA,2440723,523626-1,NA,Y,Matched to an accepted name,clonal,Stolon,aboveground,CLO-PLA3,wang et al. 2016,22.97119234625655,23.708116972344342,53.32069068139911,NA,2
Sicyos angulatus,L.,刺果瓜,Sicyos angulatus,葫芦科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/157,Exact (with author),FALSE,1,0,2489758,Sicyos angulatus,L.,Species,Accepted,NA,30348317-2,2489758,0,2,Exact (with author),2489758,30348317-2,Species,Accepted,Cucurbitaceae,NA,Sicyos,NA,angulatus,NA,NA,NA,L.,NA,Sp. Pl.,: 1013,-1753,NA,E. Canada to C. & E. U.S.A.,climbing annual,temperate,Sicyos angulatus,L.,2489758,NA,NA,NA,2489750,30348317-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,59.91,0,40.09,NA,2
Ricinus communis,L.,蓖麻,Ricinus communis,大戟科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/166,Exact (with author),FALSE,1,0,178867,Ricinus communis,L.,Species,Accepted,NA,355498-1,178867,0,2,Exact (with author),178867,355498-1,Species,Accepted,Euphorbiaceae,NA,Ricinus,NA,communis,NA,NA,NA,L.,NA,Sp. Pl.,: 1007,-1753,NA,NE. Trop. Africa,shrub or tree,seasonally dry tropical,Ricinus communis,L.,178867,NA,NA,NA,178856,355498-1,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,33,2
Euphorbia heterophylla,L.,白苞猩猩草,Euphorbia heterophylla,大戟科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/173,Exact (with author),FALSE,1,0,80087,Euphorbia heterophylla,L.,Species,Accepted,NA,30062970-2,80087,0,2,Exact (with author),80087,30062970-2,Species,Accepted,Euphorbiaceae,NA,Euphorbia,NA,heterophylla,NA,NA,NA,L.,NA,Sp. Pl.,: 453,-1753,NA,C. & S. U.S.A. to Trop. & Subtrop. America,annual,seasonally dry tropical,Euphorbia heterophylla,L.,80087,NA,NA,NA,78175,30062970-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,75.13886120466432,9.385130402016328,15.47600839331936,NA,2
Euphorbia hirta,L.,飞扬草,Euphorbia hirta,大戟科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/174,Exact (with author),FALSE,1,0,80144,Euphorbia hirta,L.,Species,Accepted,NA,101651-2,80144,0,2,Exact (with author),80144,101651-2,Species,Accepted,Euphorbiaceae,NA,Euphorbia,NA,hirta,NA,NA,NA,L.,NA,Sp. Pl.,: 454,-1753,NA,Trop. & Subtrop. America,annual,seasonally dry tropical,Euphorbia hirta,L.,80144,NA,NA,NA,78175,101651-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,62.83515021369447,29.814587644080373,7.350262142225175,22,2
Geranium carolinianum,L.,野老鹳草,Geranium carolinianum,牻牛儿苗科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/195,Exact (with author),FALSE,1,0,2822997,Geranium carolinianum,L.,Species,Accepted,NA,320496-2,2822997,0,2,Exact (with author),2822997,320496-2,Species,Accepted,Geraniaceae,NA,Geranium,NA,carolinianum,NA,NA,NA,L.,NA,Sp. Pl.,: 682,-1753,NA,Canada to N. & W. Mexico,annual,temperate,Geranium carolinianum,L.,2822997,NA,NA,NA,2822758,320496-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,21,2
Cuphea carthagenensis,(Jacq.) J. F. Macbr.,香膏萼距花,Cuphea carthagenensis,千屈菜科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/199,Exact (without author),FALSE,1,0,2747935,Cuphea carthagenensis,(Jacq.) J.F.Macbr.,Species,Accepted,NA,72326-2,2747935,2,10,Exact (without author),2747935,72326-2,Species,Accepted,Lythraceae,NA,Cuphea,NA,carthagenensis,NA,NA,Jacq.,J.F.Macbr.,NA,"Publ. Field Mus. Nat. Hist., Bot. Ser.",0.419444444,-1930,NA,Mexico to Trop. America,annual or subshrub,wet tropical,Cuphea carthagenensis,(Jacq.) J.F.Macbr.,2747935,2353984,NA,NA,2747835,72326-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,2
Oenothera biennis,L.,月见草,Oenothera biennis,柳叶菜科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/203,Exact (with author),FALSE,1,0,2399189,Oenothera biennis,L.,Species,Accepted,NA,172755-2,2399189,0,2,Exact (with author),2399189,172755-2,Species,Accepted,Onagraceae,NA,Oenothera,NA,biennis,NA,NA,NA,L.,NA,Sp. Pl.,: 346,-1753,NA,Canada to C. Mexico,biennial,temperate,Oenothera biennis,L.,2399189,NA,NA,NA,2398316,172755-2,NA,N,Matched to an accepted name,clonal,Root turion/Root-splitter,belowground,CLO-PLA3,wang et al. 2016,51.53179858405843,31.81435982333828,16.658841592603284,NA,2
Gaura parviflora,Douglas ex Lehm.,小花山桃草,Gaura parviflora,柳叶菜科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/214,Exact (with author),FALSE,1,0,2818201,Gaura parviflora,Douglas ex Lehm.,Species,Synonym,TRUE,313969-2,2607975,0,16,Exact (with author),2607975,77092903-1,Species,Accepted,Onagraceae,NA,Oenothera,NA,curtiflora,NA,NA,NA,W.L.Wagner & Hoch,NA,Syst. Bot. Monogr.,83: 211,-2007,NA,W. & EC. U.S.A. to C. Mexico,annual or biennial,temperate,Oenothera curtiflora,W.L.Wagner & Hoch,2607975,2818201,Douglas ex Lehm.,NA,2398316,77092903-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,11,2
Malvastrum coromandelianum,(L.) Garcke,赛葵,Malvastrum coromandelianum,锦葵科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/226,Exact (with author),FALSE,1,0,2503912,Malvastrum coromandelianum,(L.) Garcke,Species,Accepted,NA,1063417-2,2503912,0,11,Exact (with author),2503912,1063417-2,Species,Accepted,Malvaceae,NA,Malvastrum,NA,coromandelianum,NA,NA,L.,Garcke,NA,Bonplandia (Hannover),0.414583333,-1857,NA,New World,annual or subshrub,seasonally dry tropical,Malvastrum coromandelianum,(L.) Garcke,2503912,2510940,NA,NA,2503828,1063417-2,NA,N,Matched to an accepted name,clonal,Undergound bud,belowground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,NA,2
Lepidium virginicum,L.,北美独行菜,Lepidium virginicum,十字花科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/244,Exact (with author),FALSE,1,0,2341702,Lepidium virginicum,L.,Species,Accepted,NA,138164-2,2341702,0,2,Exact (with author),2341702,138164-2,Species,Accepted,Brassicaceae,NA,Lepidium,NA,virginicum,NA,NA,NA,L.,NA,Sp. Pl.,: 645,-1753,NA,"Canada to C. America, Caribbean",annual or biennial,temperate,Lepidium virginicum,L.,2341702,NA,NA,NA,2338293,138164-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,17.640058691214552,22.698339870735698,59.66160143804976,33,2
Chenopodium hybridum,L.,杂配藜,Chenopodium hybridum,苋科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/257,Exact (with author),FALSE,1,0,2717442,Chenopodium hybridum,L.,Species,Synonym,TRUE,308170-2,2913103,0,2,Exact (with author),2913103,77121009-1,Species,Accepted,Amaranthaceae,NA,Chenopodiastrum,NA,hybridum,NA,NA,L.,"S.Fuentes, Uotila & Borsch",NA,Willdenowia,42:14:00,-2012,NA,Europe to N. Japan,annual,temperate,Chenopodiastrum hybridum,"(L.) S.Fuentes, Uotila & Borsch",2913103,2717442,NA,NA,2913108,77121009-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,44.863019910973165,0,55.136980089026835,24,2
Amaranthus blitum,L.,凹头苋,Amaranthus blitum,苋科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/265,Exact (with author),FALSE,1,0,2632714,Amaranthus blitum,L.,Species,Accepted,NA,10619-2,2632714,0,2,Exact (with author),2632714,10619-2,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,blitum,NA,NA,NA,L.,NA,Sp. Pl.,: 990,-1753,NA,Peru to Brazil and N. Argentina,annual,subtropical,Amaranthus blitum,L.,2632714,NA,NA,NA,2632636,10619-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,16.562047109885967,0,83.43795289011403,32,2
Amaranthus hybridus,L.,绿穗苋,Amaranthus hybridus,苋科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/269,Exact (with author),FALSE,1,0,2632871,Amaranthus hybridus,L.,Species,Accepted,NA,10648-2,2632871,0,2,Exact (with author),2632871,10648-2,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,hybridus,NA,NA,NA,L.,NA,Sp. Pl.,: 990,-1753,NA,S. Ontario to W. South America,annual,seasonally dry tropical,Amaranthus hybridus,L.,2632871,NA,NA,NA,2632636,10648-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,43.582928005849034,17.126031187954563,39.291040806196406,NA,2
Amaranthus viridis,L.,皱果苋,Amaranthus viridis,苋科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/279,Exact (with author),FALSE,1,0,2633159,Amaranthus viridis,L.,Species,Accepted,NA,316349-2,2633159,0,2,Exact (with author),2633159,316349-2,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,viridis,NA,NA,NA,L.,NA,"Sp. Pl., ed. 2.",: 1405,-1763,NA,SE. Mexico to Trop. America,annual,seasonally dry tropical,Amaranthus viridis,L.,2633159,NA,NA,NA,2632636,316349-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,31,2
Opuntia dillenii,(Ker Gawl.) Haw.,仙人掌,Opuntia dillenii,仙人掌科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/296,Exact (with author),FALSE,1,0,2393202,Opuntia dillenii,(Ker Gawl.) Haw.,Species,Synonym,NA,136534-1,2392489,0,16,Exact (with author),2392489,137125-1,Species,Accepted,Cactaceae,NA,Opuntia,NA,tuna,NA,NA,L.,Mill.,NA,"Gard. Dict., ed. 8.",: n.° 3,-1768,NA,"Mexico, S. Jamaica",succulent shrub,seasonally dry tropical,Opuntia tuna,(L.) Mill.,2392489,2689602,NA,NA,2393473,137125-1,NA,N,Matched to an accepted name,clonal,Shoot fragment,aboveground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,17,2
Opuntia ficus-indica,(L.) Mill.,梨果仙人掌,Opuntia ficus-indica,仙人掌科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/297,Exact (with author),FALSE,1,0,2391911,Opuntia ficus-indica,(L.) Mill.,Species,Accepted,NA,1151735-2,2391911,0,10,Exact (with author),2391911,1151735-2,Species,Accepted,Cactaceae,NA,Opuntia,NA,ficus-indica,NA,NA,L.,Mill.,NA,"Gard. Dict., ed. 8.",: n.° 2,-1768,NA,Mexico,succulent shrub or tree,seasonally dry tropical,Opuntia ficus-indica,(L.) Mill.,2391911,2689161,NA,NA,2393473,1151735-2,NA,N,Matched to an accepted name,clonal,Shoot fragment,aboveground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,10,2
Opuntia mesacantha,(Willd.) Haw.,单刺仙人掌,Opuntia monacantha,仙人掌科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/298,Exact (without author),FALSE,1,0,2391675,Opuntia mesacantha,Raf.,Species,Accepted,NA,136799-1,2391675,11,1,Exact (without author),2391675,136799-1,Species,Accepted,Cactaceae,NA,Opuntia,NA,mesacantha,NA,NA,NA,Raf.,NA,Bull. Bot. (Geneva),0.191666667,-1830,NA,New Jersey to SE. U.S.A.,succulent subshrub,temperate,Opuntia mesacantha,Raf.,2391675,NA,NA,NA,2393473,136799-1,NA,N,Matched to an accepted name,NA,NA,NA,NA,wang et al. 2016,NA,NA,NA,11,2
Ipomoea nil,(L.) Roth,牵牛,Ipomoea nil,旋花科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/329,Exact (with author),FALSE,1,0,481602,Ipomoea nil,(L.) Roth,Species,Accepted,NA,1071575-2,481602,0,9,Exact (with author),481602,1071575-2,Species,Accepted,Convolvulaceae,NA,Ipomoea,NA,nil,NA,NA,L.,Roth,NA,Catal. Bot.,1:36,-1797,NA,Trop. & Subtrop. America,climbing annual,seasonally dry tropical,Ipomoea nil,(L.) Roth,481602,484290,NA,NA,480428,1071575-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,2
Datura innoxia,Mill.,毛曼陀罗,Datura innoxia,茄科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/337,Exact (with author),FALSE,1,0,2757799,Datura innoxia,Mill.,Species,Accepted,NA,316945-2,2757799,0,5,Exact (with author),2757799,316945-2,Species,Accepted,Solanaceae,NA,Datura,NA,innoxia,NA,NA,NA,Mill.,NA,"Gard. Dict., ed. 8.",: n.° 5,-1768,", nom. & orth. cons.",Arizona to Texas and Mexico,annual or perennial,subtropical,Datura innoxia,Mill.,2757799,NA,NA,NA,2757749,316945-2,NA,N,Matched to an accepted name,NA,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,2
Datura stramonium,L.,曼陀罗,Datura stramonium,茄科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/339,Exact (with author),FALSE,1,0,2757848,Datura stramonium,L.,Species,Accepted,NA,314738-2,2757848,0,2,Exact (with author),2757848,314738-2,Species,Accepted,Solanaceae,NA,Datura,NA,stramonium,NA,NA,NA,L.,NA,Sp. Pl.,: 179,-1753,NA,"Texas to C. America, Caribbean",annual,subtropical,Datura stramonium,L.,2757848,NA,NA,NA,2757749,314738-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,73.38726058235852,0,26.61273941764148,34,2
Solanum aculeatissimum,auct. non Jacq. : C. C. Hsu,喀西茄,Solanum aculeatissimum,茄科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/340,Exact (without author),TRUE,1,0,3031423,Solanum aculeatissimum,Jacq.,Species,Accepted,NA,330626-2,3031423,22,4,Exact (without author),3031423,330626-2,Species,Accepted,Solanaceae,NA,Solanum,NA,aculeatissimum,NA,NA,NA,Jacq.,NA,Icon. Pl. Rar.,1:05,-1781,NA,SE. & S. Brazil to SC. Paraguay,shrub,seasonally dry tropical,Solanum aculeatissimum,Jacq.,3031423,NA,NA,NA,2936484,330626-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,2
Solanum erianthum,D. Don,假烟叶树,Solanum erianthum,茄科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/345,Exact (without author),FALSE,1,0,3031837,Solanum erianthum,D.Don,Species,Accepted,NA,819125-1,3031837,1,3,Exact (without author),3031837,819125-1,Species,Accepted,Solanaceae,NA,Solanum,NA,erianthum,NA,NA,NA,D.Don,NA,Prodr. Fl. Nepal.,: 96,-1825,NA,Trop. & Subtrop. America,shrub or tree,wet tropical,Solanum erianthum,D.Don,3031837,NA,NA,NA,2936484,819125-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,81.80136604549524,13.000213312912004,5.198420641592758,12,2
Solanum torvum,Sw.,水茄,Solanum torvum,茄科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/354,Exact (with author),FALSE,1,0,3032708,Solanum torvum,Sw.,Species,Accepted,NA,821287-1,3032708,0,3,Exact (with author),3032708,821287-1,Species,Accepted,Solanaceae,NA,Solanum,NA,torvum,NA,NA,NA,Sw.,NA,Prodr. Veg. Ind. Occ.,: 47,-1788,", nom. cons.","Mexico to N. South America, Caribbean, E. Brazil",shrub,wet tropical,Solanum torvum,Sw.,3032708,NA,NA,NA,2936484,821287-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,81.27670845363133,10.547876441129173,8.17541510523949,13,2
Scoparia dulcis,L.,野甘草,Scoparia dulcis,车前科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/365,Exact (with author),FALSE,1,0,2585469,Scoparia dulcis,L.,Species,Accepted,NA,230902-2,2585469,0,2,Exact (with author),2585469,230902-2,Species,Accepted,Plantaginaceae,NA,Scoparia,NA,dulcis,NA,NA,NA,L.,NA,Sp. Pl.,: 116,-1753,NA,Trop. & Subtrop. America,annual or subshrub,seasonally dry tropical,Scoparia dulcis,L.,2585469,NA,NA,NA,2585479,230902-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,2
Veronica persica,Poir.,阿拉伯婆婆纳,Veronica persica,车前科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/371,Exact (with author),FALSE,1,0,2463021,Veronica persica,Poir.,Species,Accepted,NA,30198355-2,2463021,0,5,Exact (with author),2463021,30198355-2,Species,Accepted,Plantaginaceae,NA,Veronica,NA,persica,NA,NA,NA,Poir.,J.B.A.M.de Lamarck,Encycl.,0.709722222,-1808,NA,Caucasus to N. Iran,annual,temperate,Veronica persica,Poir.,2463021,NA,NA,NA,2453946,30198355-2,NA,N,Matched to an accepted name,clonal,Stolon,aboveground,CLO-PLA3,wang et al. 2016,19.23219102424543,0,80.76780897575458,24,2
